s,shopping_pt,record_type,day,time,state,location,group_size,homeowner,car_age,car_value,risk_factor,age_oldest,age_youngest,married_couple,C_previous,duration_previous,A,B,C,D,E,F,G,cost
10000007,6,0,4,8:41,PA,10008,1,0,11,c,NA,43,43,0,2,4,0,0,2,2,0,0,1,605
10000007,7,0,4,8:43,PA,10008,1,0,11,c,NA,43,43,0,2,4,0,0,2,2,0,0,1,605
10000007,8,1,4,14:26,PA,10008,1,0,11,c,NA,43,43,0,2,4,0,0,1,2,0,0,1,602
10000013,1,0,2,16:31,WV,10014,2,1,3,d,3,62,60,1,3,3,1,1,3,2,1,2,3,629
10000013,2,0,2,16:32,WV,10014,2,1,3,d,3,62,60,1,3,3,1,1,3,2,1,2,3,620
10000013,3,0,2,16:36,WV,10014,2,1,3,d,3,62,60,1,3,3,1,1,3,2,1,1,3,627
10000013,4,1,4,9:31,WV,10014,2,1,3,d,3,62,60,1,3,3,1,1,3,2,1,1,3,626
10000014,1,0,4,16:30,MO,10015,1,0,5,d,3,32,28,1,1,2,1,1,3,3,0,2,2,604
10000014,2,0,4,16:31,MO,10015,1,0,5,d,3,32,28,1,1,2,2,1,1,1,0,2,2,585
10000014,3,0,4,16:32,MO,10015,1,0,5,d,3,32,28,1,1,2,1,1,1,1,0,2,2,603
10000014,4,0,4,16:35,MO,10015,1,0,5,d,3,32,28,1,1,2,1,1,1,1,0,2,2,603
10000014,5,0,4,16:43,MO,10015,1,0,5,d,3,32,28,1,1,2,1,1,1,1,0,2,2,603
10000014,6,1,1,17:50,MO,10015,1,0,5,d,3,32,28,1,1,2,1,1,1,1,0,2,2,614
10000016,1,0,2,13:34,OH,10017,1,0,6,d,NA,24,24,0,3,9,1,1,3,3,0,1,3,590
10000016,2,0,2,13:35,OH,10017,1,0,6,d,NA,24,24,0,3,9,2,1,3,3,1,3,3,584
10000016,3,0,2,13:35,OH,10017,1,0,6,d,NA,24,24,0,3,9,2,1,3,3,1,3,3,591
10000016,4,0,2,13:36,OH,10017,1,0,6,d,NA,24,24,0,3,9,2,1,3,3,1,3,3,591
10000016,5,0,2,13:39,OH,10017,1,0,6,d,NA,24,24,0,3,9,2,1,3,3,1,3,3,591
10000016,6,0,2,13:42,OH,10017,1,0,6,d,NA,24,24,0,3,9,2,1,3,3,1,3,3,591
10000016,7,0,2,13:43,OH,10017,1,0,6,d,NA,24,24,0,3,9,2,1,3,3,1,3,3,585
10000016,8,0,2,13:44,OH,10017,1,0,6,d,NA,24,24,0,3,9,2,1,3,3,1,3,3,591
10000016,9,0,2,13:47,OH,10017,1,0,6,d,NA,24,24,0,3,9,2,0,3,3,1,3,3,589
10000016,10,1,3,13:15,OH,10018,1,0,6,d,NA,24,24,0,3,9,2,0,3,3,0,3,3,597
10000019,1,0,1,8:16,OK,10021,1,0,7,d,NA,21,21,0,2,4,2,0,2,3,0,2,3,681
10000019,2,0,1,8:19,OK,10021,1,0,7,d,NA,21,21,0,2,4,2,0,2,3,0,2,3,681
10000019,3,0,1,9:09,OK,10021,1,0,7,d,NA,21,21,0,2,4,2,0,2,3,0,2,3,681
10000019,4,0,1,9:11,OK,10021,1,0,7,d,NA,21,21,0,2,4,2,0,2,3,0,2,3,681
10000019,5,0,1,9:32,OK,10021,1,0,7,d,NA,21,21,0,2,4,2,0,2,3,0,2,3,685
10000019,6,0,1,9:33,OK,10021,1,0,7,d,NA,21,21,0,2,4,2,0,2,3,0,2,3,685
10000019,7,0,1,9:34,OK,10021,1,0,7,d,NA,21,21,0,2,4,2,0,2,3,0,2,3,685
10000019,8,1,1,11:34,OK,10021,1,0,7,d,NA,21,21,0,2,4,2,1,2,3,1,2,3,705
10000023,1,0,0,12:16,PA,10025,1,1,2,f,3,31,31,0,1,13,1,1,3,3,1,1,2,659
10000023,2,0,0,12:16,PA,10025,1,1,2,f,3,31,31,0,1,13,1,1,3,3,1,1,2,627
10000023,3,0,0,12:17,PA,10025,1,1,2,f,3,31,31,0,1,13,1,1,1,3,1,1,2,615
10000023,4,0,0,12:18,PA,10025,1,1,2,f,3,31,31,0,1,13,1,1,1,3,1,1,2,615
10000023,5,0,0,14:14,PA,10025,1,1,2,f,3,31,31,0,1,13,1,1,1,3,1,1,2,615
10000023,6,0,0,14:15,PA,10025,2,1,2,f,3,31,31,0,1,13,1,1,1,3,1,1,2,622
10000023,7,1,1,14:32,PA,10025,1,1,2,f,3,63,63,0,1,13,1,1,1,3,1,1,2,607
10000025,1,0,0,15:06,OH,10027,2,1,15,d,2,52,17,0,3,0,1,0,3,3,0,1,3,648
10000025,2,0,0,15:06,OH,10027,2,1,15,d,2,52,17,0,3,0,0,0,1,3,0,0,3,584
10000025,3,0,0,15:07,OH,10027,2,1,15,d,2,52,17,0,3,0,0,0,1,3,0,0,3,601
10000025,4,0,0,15:08,OH,10027,2,1,15,d,2,52,17,0,3,0,0,0,1,1,0,0,3,600
10000025,5,0,0,15:10,OH,10027,2,1,15,d,2,52,17,0,3,0,0,0,1,1,0,0,3,600
10000025,6,0,0,15:16,OH,10027,2,1,15,d,2,52,17,0,3,0,0,0,1,1,0,0,3,600
10000025,7,1,0,15:26,OH,10027,2,1,15,d,2,52,17,0,3,0,0,0,1,1,0,0,3,604
10000026,1,0,1,9:09,OH,10028,2,1,5,d,3,59,57,1,3,1,1,0,3,3,0,2,3,556
10000026,2,0,1,9:09,OH,10028,2,1,5,d,3,59,57,1,3,1,1,0,3,3,0,2,3,556
10000026,3,0,1,9:10,OH,10028,2,1,5,d,3,59,57,1,3,1,1,1,3,3,1,2,3,572
10000026,4,1,3,15:24,OH,10028,2,1,5,d,3,59,57,1,3,1,1,1,3,3,1,2,3,578
10000027,1,0,0,9:11,IN,10029,1,0,17,d,4,50,50,0,2,1,0,0,1,1,0,0,2,575
10000027,2,0,0,9:12,IN,10029,1,0,17,d,4,50,50,0,2,1,1,0,2,2,0,2,2,676
10000027,3,0,0,9:13,IN,10029,1,0,17,d,4,50,50,0,2,1,0,0,2,2,0,0,2,598
10000027,4,0,0,9:14,IN,10029,1,0,17,d,4,50,50,0,2,1,1,0,2,2,0,2,2,689
10000027,5,0,0,9:15,IN,10029,1,0,17,d,4,50,50,0,2,1,0,0,2,2,0,0,2,609
10000027,6,1,2,8:03,IN,10029,1,0,17,e,4,50,50,0,2,1,0,0,2,2,0,0,1,605
10000028,1,0,5,15:46,FL,10030,2,1,1,d,1,44,20,0,1,2,1,0,1,1,0,2,3,696
10000028,2,0,5,15:47,FL,10030,2,1,1,d,1,44,20,0,1,2,2,0,1,3,0,2,3,692
10000028,3,0,5,15:48,FL,10030,2,1,1,d,1,44,20,0,1,2,2,0,1,3,0,2,3,692
10000028,4,0,5,15:49,FL,10030,2,1,1,d,1,44,20,0,1,2,1,0,1,3,0,2,3,696
10000028,5,0,5,15:50,FL,10030,2,1,1,d,1,44,20,0,1,2,1,0,1,3,0,2,3,696
10000028,6,1,6,11:44,FL,10030,2,1,1,d,1,44,20,0,1,2,1,0,1,3,0,2,3,703
10000031,1,0,4,18:20,OR,10033,1,0,15,e,NA,25,25,0,2,8,1,1,3,3,1,1,1,657
10000031,2,0,4,18:24,OR,10033,1,0,15,e,NA,25,25,0,2,8,1,1,1,1,0,1,2,654
10000031,3,0,4,18:34,OR,10033,1,0,15,e,NA,25,25,0,2,8,1,1,1,1,0,1,2,665
10000031,4,0,4,18:37,OR,10033,1,0,15,e,NA,25,25,0,2,8,1,1,1,1,0,1,2,665
10000031,5,0,4,18:39,OR,10033,1,0,15,e,NA,25,25,0,2,8,1,1,1,1,0,1,2,665
10000031,6,0,4,18:42,OR,10033,1,0,15,e,NA,25,25,0,2,8,1,1,1,1,0,1,2,665
10000031,7,0,4,18:43,OR,10033,1,0,15,e,NA,25,25,0,2,8,1,1,1,1,0,1,2,665
10000031,8,1,4,19:09,OR,10033,1,0,15,e,NA,25,25,0,2,8,1,1,1,1,0,1,2,665
10000032,1,0,0,18:15,OR,10034,1,1,12,e,3,29,29,0,4,14,1,1,3,3,0,1,2,594
10000032,2,0,0,18:15,OR,10034,1,1,12,e,3,29,29,0,4,14,2,1,3,3,0,3,2,585
10000032,3,0,0,18:18,OR,10034,1,1,12,e,3,29,29,0,4,14,2,1,3,3,0,3,3,603
10000032,4,0,0,18:19,OR,10034,1,1,12,e,3,29,29,0,4,14,2,1,3,3,0,3,3,603
10000032,5,0,0,18:26,OR,10034,1,1,12,e,3,29,29,0,4,14,1,1,3,3,0,2,3,610
10000032,6,0,0,18:27,OR,10034,1,1,12,e,3,29,29,0,4,14,2,1,3,3,0,3,3,603
10000032,7,1,1,18:37,OR,10034,1,0,12,e,3,29,29,0,4,14,1,1,3,3,0,2,3,606
10000033,1,0,0,17:40,WA,10035,1,1,8,d,NA,30,30,0,NA,NA,0,0,1,1,0,0,1,550
10000033,2,0,0,17:42,WA,10035,1,1,8,d,NA,30,30,0,NA,NA,0,0,1,1,0,0,2,551
10000033,3,0,0,17:42,WA,10035,1,1,8,d,3,30,30,0,1,5,0,0,1,1,0,0,2,583
10000033,4,0,0,17:44,WA,10035,1,1,8,d,3,30,30,0,1,5,1,0,1,1,0,2,2,610
10000033,5,0,0,17:45,WA,10035,1,1,8,d,3,30,30,0,1,5,1,0,1,1,0,2,2,620
10000033,6,0,0,17:52,WA,10035,1,1,8,d,3,30,30,0,1,5,1,0,1,1,0,2,2,620
10000033,7,1,0,18:31,WA,10035,1,1,8,d,3,30,30,0,1,5,2,0,1,1,0,1,2,603
10000034,1,0,3,9:32,OK,10036,1,1,8,g,3,61,61,0,3,3,2,0,2,2,0,2,2,610
10000034,2,0,3,9:33,OK,10036,1,1,8,g,3,61,61,0,3,3,2,0,2,3,0,2,4,613
10000034,3,0,3,9:37,OK,10036,1,1,8,g,3,61,61,0,3,3,2,1,2,3,0,2,4,608
10000034,4,0,3,9:37,OK,10036,1,1,8,g,3,61,61,0,3,3,2,1,2,3,0,2,4,612
10000034,5,0,3,9:41,OK,10036,1,1,8,g,3,61,61,0,3,3,2,1,2,3,0,2,2,600
10000034,6,0,3,9:43,OK,10036,1,1,8,g,3,61,61,0,3,3,2,1,2,3,0,2,2,600
10000034,7,1,2,9:40,OK,10036,1,1,8,g,3,61,61,0,3,3,2,1,2,3,0,2,2,600
10000036,1,0,0,11:19,FL,10038,2,1,26,c,1,60,56,1,3,15,1,1,3,3,1,2,3,605
10000036,2,0,0,11:20,FL,10038,2,1,26,c,1,60,56,1,3,15,1,1,3,3,1,2,3,605
10000036,3,0,0,11:21,FL,10038,2,1,26,c,1,60,56,1,3,15,0,1,3,3,0,2,3,568
10000036,4,0,0,13:15,FL,10038,2,1,26,c,1,60,56,1,3,15,0,1,3,3,0,2,3,568
10000036,5,0,0,13:16,FL,10038,2,1,26,c,1,60,56,1,3,15,0,1,3,3,0,2,3,568
10000036,6,0,0,13:18,FL,10038,2,1,26,c,1,60,56,1,3,15,0,1,3,3,0,2,3,568
10000036,7,0,0,13:19,FL,10038,2,1,26,c,1,60,56,1,3,15,0,1,3,3,0,2,3,568
10000036,8,0,0,13:19,FL,10038,2,1,26,c,1,60,56,1,3,15,0,1,3,3,0,2,3,574
10000036,9,0,0,13:22,FL,10038,2,1,26,c,1,60,56,1,3,15,0,1,3,3,0,2,3,574
10000036,10,0,0,13:40,FL,10038,2,1,26,c,1,60,56,1,3,15,0,1,3,3,0,2,3,574
10000036,11,1,0,13:56,FL,10038,2,1,26,c,1,60,56,1,3,15,1,1,3,3,0,2,3,577
10000037,1,0,5,9:29,PA,10039,1,1,1,g,4,58,58,0,1,3,2,0,1,1,1,3,2,765
10000037,2,0,5,9:32,PA,10039,1,1,1,g,4,58,58,0,1,5,2,0,1,1,1,3,2,642
10000037,3,0,5,9:32,PA,10039,1,1,1,g,4,58,58,0,1,5,2,0,1,1,1,3,2,642
10000037,4,0,5,9:34,PA,10039,1,1,1,g,4,58,58,0,1,5,2,0,1,1,1,3,2,652
10000037,5,0,5,9:38,PA,10039,1,1,1,g,4,58,58,0,1,5,2,0,1,1,1,3,2,652
10000037,6,1,1,13:07,PA,10039,2,1,1,g,4,58,24,0,1,5,1,0,1,2,1,2,2,694
10000038,1,0,2,15:47,WA,10040,1,0,7,d,NA,65,37,1,1,0,1,1,4,1,1,2,2,622
10000038,2,0,2,15:47,WA,10040,1,0,7,d,NA,65,37,1,1,0,1,1,4,1,1,2,2,671
10000038,3,0,2,15:49,WA,10040,1,0,7,d,NA,65,37,1,1,0,1,1,1,1,1,2,2,651
10000038,4,0,2,15:49,WA,10040,1,0,7,d,NA,65,37,1,1,0,1,1,1,1,1,2,2,654
10000038,5,0,2,15:51,WA,10040,1,0,7,d,NA,65,37,1,1,0,1,1,1,1,1,2,2,654
10000038,6,0,2,15:52,WA,10040,1,0,7,d,NA,65,37,1,1,0,1,1,1,1,1,2,2,654
10000038,7,1,2,16:00,WA,10040,1,0,7,d,NA,65,37,1,1,0,1,1,1,1,1,2,2,654
10000039,1,0,2,13:02,OH,10041,1,1,4,f,NA,49,49,0,2,4,1,1,3,3,1,2,3,641
10000039,2,0,2,13:05,OH,10041,1,1,4,f,NA,49,49,0,2,4,1,1,3,3,1,2,3,645
10000039,3,0,2,13:06,OH,10041,1,1,4,f,NA,49,49,0,2,4,1,1,3,3,1,2,3,643
10000039,4,0,2,13:08,OH,10041,1,1,4,f,NA,49,49,0,2,4,1,1,3,3,1,2,3,645
10000039,5,0,2,13:10,OH,10041,1,1,4,f,NA,49,49,0,2,4,1,1,3,3,1,2,3,649
10000039,6,0,2,13:11,OH,10041,1,1,4,f,NA,49,49,0,2,4,1,1,3,3,1,2,3,665
10000039,7,0,2,13:12,OH,10041,1,1,4,f,NA,49,49,0,2,4,1,1,3,3,1,2,3,649
10000039,8,0,2,13:12,OH,10041,1,1,4,f,NA,49,49,0,2,4,1,1,3,3,1,2,3,649
10000039,9,1,2,13:39,OH,10041,1,1,4,f,NA,49,49,0,2,4,1,1,3,3,1,2,3,646
10000040,1,0,2,11:48,KS,10042,1,1,6,e,NA,26,26,0,3,5,1,0,3,3,0,2,1,626
10000040,2,0,2,11:48,KS,10042,1,1,6,e,NA,26,26,0,3,5,1,0,3,3,0,2,1,616
10000040,3,0,2,11:49,KS,10042,1,1,6,e,NA,26,26,0,3,5,1,1,3,3,1,2,1,627
10000040,4,1,4,14:41,KS,10042,1,1,6,e,NA,26,26,0,3,5,1,1,3,3,1,2,1,627
10000041,1,0,4,10:17,PA,10043,1,1,14,,NA,56,56,0,1,4,1,1,2,3,1,1,2,702
10000041,2,0,4,10:18,PA,10043,1,1,14,,NA,56,56,0,1,4,0,1,1,1,0,0,2,563
10000041,3,0,4,10:19,PA,10043,1,1,14,d,NA,56,56,0,1,4,0,1,1,1,0,0,3,566
10000041,4,0,4,10:19,PA,10043,1,1,14,d,NA,56,56,0,1,4,0,1,1,1,0,0,3,566
10000041,5,0,4,10:24,PA,10043,1,1,14,d,NA,56,56,0,1,4,0,1,1,1,0,0,3,566
10000041,6,0,4,10:29,PA,10043,1,1,14,d,NA,56,56,0,1,4,0,1,1,1,0,0,3,566
10000041,7,0,4,10:30,PA,10043,1,1,14,d,NA,56,56,0,1,4,0,1,1,1,0,0,3,563
10000041,8,1,0,8:45,PA,10043,1,1,14,d,NA,56,56,0,1,4,0,1,1,1,0,0,3,563
10000042,1,0,0,11:08,FL,10044,3,0,9,e,3,65,17,1,3,15,1,1,3,3,1,1,4,693
10000042,2,0,0,11:09,FL,10044,3,0,9,e,3,65,17,1,3,15,1,1,3,3,1,1,3,701
10000042,3,0,0,11:10,FL,10044,3,0,9,e,3,65,17,1,3,15,1,1,3,3,1,1,3,701
10000042,4,1,0,11:14,FL,10044,3,0,9,e,3,65,17,1,3,15,1,1,3,3,1,1,3,701
10000043,1,0,4,9:03,NY,10045,1,1,3,f,2,51,51,0,3,4,1,0,3,3,0,0,2,598
10000043,2,0,4,9:13,NY,10045,1,1,3,f,2,51,51,0,3,4,1,0,3,3,1,0,2,603
10000043,3,0,4,9:14,NY,10045,1,1,3,f,2,51,51,0,3,4,1,0,3,3,1,0,2,603
10000043,4,0,4,9:18,NY,10045,1,1,3,f,2,51,51,0,3,4,1,0,3,3,1,0,2,596
10000043,5,0,4,9:22,NY,10045,1,1,3,f,2,51,51,0,3,4,1,0,3,3,1,0,2,596
10000043,6,0,4,9:23,NY,10045,1,1,3,f,2,51,51,0,3,4,1,0,3,3,0,0,2,598
10000043,7,1,2,10:47,NY,10045,1,1,3,f,2,51,51,0,3,4,1,0,3,3,0,0,2,598
10000047,1,0,0,14:14,OH,10049,1,1,6,e,3,24,24,0,4,6,1,0,4,3,0,1,3,594
10000047,2,0,0,14:15,OH,10049,1,1,6,e,3,24,24,0,4,6,1,0,3,3,1,1,3,591
10000047,3,0,0,14:16,OH,10049,1,1,6,e,3,24,24,0,4,6,1,0,3,3,1,1,3,601
10000047,4,0,0,14:19,OH,10049,1,1,6,e,3,24,24,0,4,6,1,0,3,3,1,1,3,594
10000047,5,0,0,14:23,OH,10049,1,1,6,e,3,24,24,0,4,6,1,0,3,3,1,1,3,594
10000047,6,0,0,14:24,OH,10049,1,1,6,e,3,24,24,0,4,6,1,0,3,3,1,1,3,598
10000047,7,0,0,14:26,OH,10049,1,1,6,e,3,24,24,0,4,6,1,0,3,3,1,1,3,598
10000047,8,1,0,14:32,OH,10049,1,1,6,e,3,24,24,0,4,6,1,0,3,3,1,1,3,598
10000048,1,0,0,10:33,OH,10050,1,1,10,h,NA,52,52,0,1,1,1,0,1,1,0,2,2,656
10000048,2,0,0,10:36,OH,10050,1,1,10,h,NA,52,52,0,1,1,0,0,1,1,0,0,3,559
10000048,3,0,0,11:34,OH,10050,1,1,10,h,NA,52,52,0,1,1,0,0,1,1,0,0,3,559
10000048,4,0,0,12:43,OH,10050,1,1,10,h,NA,52,52,0,1,1,0,0,1,1,0,0,3,559
10000048,5,0,0,13:13,OH,10050,1,1,10,h,NA,52,52,0,1,1,0,0,1,1,0,0,3,559
10000048,6,0,0,13:14,OH,10050,1,1,10,h,NA,52,52,0,1,1,0,0,1,1,0,0,3,559
10000048,7,0,0,13:15,OH,10050,1,1,10,h,NA,52,52,0,1,1,0,0,1,1,0,0,3,562
10000048,8,0,0,13:19,OH,10050,1,1,10,h,NA,52,52,0,1,1,0,0,1,1,0,0,3,562
10000048,9,1,0,13:23,OH,10050,1,1,10,h,NA,52,52,0,1,1,0,0,1,1,0,0,3,562
10000049,1,0,3,12:56,NV,10051,1,0,17,c,NA,43,43,0,3,7,1,1,1,2,1,2,2,670
10000049,2,0,3,12:56,NV,10051,1,0,17,c,NA,43,43,0,3,7,0,1,1,1,0,0,2,620
10000049,3,0,3,12:57,NV,10051,1,0,17,c,NA,43,43,0,3,7,0,1,1,1,0,0,2,625
10000049,4,0,3,13:00,NV,10051,1,0,17,c,NA,43,43,0,3,7,0,1,1,1,0,0,2,625
10000049,5,0,3,13:04,NV,10051,1,0,17,c,NA,43,43,0,3,7,0,1,1,1,0,0,2,618
10000049,6,0,3,13:07,NV,10051,1,0,17,c,NA,43,43,0,3,7,0,1,1,1,0,0,2,618
10000049,7,0,3,13:10,NV,10051,1,0,17,c,NA,43,43,0,3,7,0,1,1,1,0,0,2,618
10000049,8,0,3,13:12,NV,10051,1,0,17,c,NA,43,43,0,3,7,0,1,1,1,0,0,2,618
10000049,9,0,3,13:13,NV,10051,1,0,17,c,NA,43,43,0,3,7,0,1,1,1,0,0,2,599
10000049,10,1,3,13:56,NV,10051,1,0,17,c,NA,43,43,0,3,7,0,1,1,1,0,0,2,617
10000052,1,0,0,14:48,ID,10053,1,0,8,d,NA,24,24,0,3,3,2,1,3,3,1,0,3,606
10000052,2,0,0,14:49,ID,10053,1,0,8,d,NA,24,24,0,3,3,2,1,3,3,1,3,3,623
10000052,3,0,0,14:51,ID,10053,1,0,8,d,NA,24,24,0,3,3,2,1,3,3,1,3,3,623
10000052,4,0,0,14:51,ID,10053,1,0,8,d,NA,24,24,0,3,3,2,1,3,3,1,3,3,623
10000052,5,0,0,14:57,ID,10053,1,0,8,d,NA,24,24,0,3,3,2,1,3,3,1,3,3,623
10000052,6,0,0,14:58,ID,10053,1,1,8,d,1,24,24,0,3,3,2,1,3,3,1,3,3,604
10000052,7,0,0,14:59,ID,10053,1,1,8,d,1,24,24,0,3,3,2,1,3,3,1,3,3,604
10000052,8,1,0,18:25,ID,10053,1,1,8,d,1,24,24,0,3,3,2,1,3,3,1,3,3,604
10000054,1,0,2,14:45,FL,10055,2,1,7,f,1,75,75,1,1,3,1,0,1,1,0,2,2,655
10000054,2,0,2,14:46,FL,10055,2,1,7,f,1,75,75,1,1,3,1,0,1,1,0,2,2,645
10000054,3,1,2,9:05,FL,10055,2,1,7,f,1,75,75,1,1,3,1,1,1,2,1,2,3,614
10000055,1,0,3,14:03,CO,10056,1,1,9,e,4,75,75,0,4,11,1,1,3,3,0,2,2,635
10000055,2,0,3,14:04,CO,10056,1,1,9,e,4,75,75,0,4,11,1,1,4,3,0,2,2,638
10000055,3,0,3,14:05,CO,10056,1,1,9,e,4,75,75,0,4,15,1,1,4,3,0,2,2,638
10000055,4,0,3,14:05,CO,10056,1,1,9,e,4,75,75,0,4,15,1,1,4,3,0,2,2,638
10000055,5,0,3,14:06,CO,10056,1,1,9,e,4,75,75,0,4,15,1,1,4,3,0,2,2,638
10000055,6,0,3,14:15,CO,10056,1,1,9,e,4,75,75,0,4,15,1,1,4,3,0,2,2,638
10000055,7,1,4,17:58,CO,10056,1,1,9,e,4,75,75,0,4,15,2,1,4,3,0,1,2,634
10000057,1,0,2,9:44,CT,10058,1,1,8,e,NA,56,56,0,2,15,1,0,3,3,1,0,1,617
10000057,2,0,2,9:44,CT,10058,1,1,8,e,NA,56,56,0,2,15,1,0,3,3,1,0,2,621
10000057,3,0,2,9:45,CT,10058,1,1,8,e,NA,56,56,0,2,15,1,0,3,3,1,0,2,629
10000057,4,0,2,9:46,CT,10058,1,1,8,e,NA,56,56,0,2,15,1,0,3,3,1,0,2,629
10000057,5,0,2,9:50,CT,10058,1,1,8,e,NA,56,56,0,2,15,1,0,3,3,1,0,2,629
10000057,6,0,2,9:51,CT,10058,1,1,8,e,NA,56,56,0,2,15,1,0,3,3,1,0,2,629
10000057,7,0,2,9:56,CT,10058,1,1,8,e,NA,56,56,0,2,15,1,0,3,3,1,0,2,629
10000057,8,1,2,10:07,CT,10058,1,1,8,e,NA,56,56,0,2,15,1,0,3,3,1,0,2,648
10000059,1,0,2,14:16,NY,10060,1,0,5,e,3,42,42,0,3,2,2,1,3,2,1,0,2,713
10000059,2,0,2,14:17,NY,10060,1,0,5,e,3,42,42,0,3,2,2,1,3,2,1,0,2,713
10000059,3,0,2,14:18,NY,10060,1,0,5,e,3,42,42,0,3,2,2,1,3,3,1,0,2,713
10000059,4,0,2,14:19,NY,10060,1,0,5,e,3,42,42,0,3,2,2,1,3,3,1,0,2,713
10000059,5,0,2,14:21,NY,10060,1,0,5,e,3,42,42,0,3,2,2,1,3,3,1,0,2,723
10000059,6,0,2,14:25,NY,10060,1,0,5,e,3,42,42,0,3,2,2,1,3,3,1,0,1,719
10000059,7,1,2,15:37,NY,10060,1,0,5,e,3,42,42,0,3,2,2,1,3,3,1,0,1,721
10000060,1,0,3,14:03,CO,10061,1,0,11,f,NA,41,41,0,NA,NA,0,0,1,1,0,0,2,582
10000060,2,0,3,14:04,CO,10061,1,0,11,f,NA,41,41,0,NA,NA,0,0,1,1,0,0,2,582
10000060,3,0,3,14:06,CO,10061,1,0,11,f,NA,41,41,0,NA,NA,0,0,1,1,0,0,2,582
10000060,4,0,3,14:09,CO,10061,1,0,11,f,NA,41,41,0,1,0,0,0,1,1,0,0,1,607
10000060,5,0,3,14:11,CO,10061,1,0,11,f,NA,41,41,0,1,0,0,0,1,1,0,0,2,614
10000060,6,0,3,14:17,CO,10061,1,0,11,f,NA,41,41,0,NA,NA,0,0,1,1,0,0,2,602
10000060,7,0,3,15:04,CO,10061,1,0,11,f,NA,41,41,0,NA,NA,0,0,1,1,0,0,2,602
10000060,8,0,3,15:05,CO,10061,1,0,11,f,NA,41,41,0,NA,NA,0,0,2,2,0,0,2,658
10000060,9,1,5,16:38,CO,10061,1,0,11,f,NA,41,41,0,1,0,1,0,1,1,0,2,2,630
10000061,1,0,3,18:32,NV,10062,1,1,14,f,NA,43,43,0,1,10,0,0,1,1,0,0,3,586
10000061,2,0,3,18:35,NV,10062,1,1,14,f,NA,43,43,0,1,10,2,1,1,1,1,2,3,639
10000061,3,0,3,18:37,NV,10062,1,1,14,f,NA,43,43,0,1,10,2,1,1,1,1,2,3,639
10000061,4,0,3,18:49,NV,10062,1,1,14,f,NA,43,43,0,1,10,2,1,1,1,1,2,3,639
10000061,5,0,3,18:50,NV,10062,1,1,14,f,NA,43,43,0,1,10,2,1,1,1,1,2,3,649
10000061,6,1,4,19:30,NV,10062,1,1,14,f,NA,43,43,0,1,10,2,1,1,1,1,2,3,641
10000062,1,0,2,9:07,FL,10063,1,1,2,f,1,43,43,0,3,3,1,1,1,2,1,1,3,637
10000062,2,0,2,9:08,FL,10063,1,1,2,f,1,43,43,0,3,3,1,1,3,2,1,1,3,655
10000062,3,0,2,9:08,FL,10063,1,1,2,f,1,43,43,0,3,3,1,1,3,2,1,1,3,655
